정답,연도,월,번호,단원,유형,서술형
3,2008,3,18,2008-03-18,[지칭추론],■ this의 특징에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,3,19,2008-03-19,[지칭추론],■ dolphins의 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ fish의 행동에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,3,20,2008-03-20,[목적],■ 이 글을 쓴 상황에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 이 글을 쓴 목적에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,3,21,2008-03-21,[어법],■ 이 글의 문법적 의도를 설명하고 올바른 답을 고르세요.\r\n■ connection between the words kid and goat에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,3,22,2008-03-22,[어법],■ Computer 교육을 일찍 해야한다에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Computer 교육을 일찍 하면 안된다에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,3,23,2008-03-23,[무관한문장],■ play에 해당하는 어구에 빨간색 표시하세요.\r\n■ learn에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,3,24,2008-03-24,[빈칸],■ go through a whole process에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,3,25,2008-03-25,[빈칸],■ people who are less happy에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ happy에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,3,26,2008-03-26,[빈칸],■ nonsmoker에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ smoker에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,3,27,2008-03-27,[빈칸],■ truth에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ not to tell the truth에 해당하는 어구에 모두 파란색 표시하세요.
2,2008,3,28,2008-03-28,[어휘],■ 요즘 food의 특징에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,3,29,2008-03-29,[그림],■ 이글의 정답을 찾고 올바른 것으로 고치세요.
2,2008,3,30,2008-03-30,[주제],■ open the petals에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ open the petals에 반대 개념의 어구에 모두 파란색 표시하세요.
1,2008,3,31,2008-03-31,[연결사],■ good or fine과 비슷한 개념에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ good or fine의 반대 개념에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,3,32,2008-03-32,[주장],■ hourglass에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ hourglass와 반대 개념에 해당하는 어구에 모두 파란색 표시하세요.
1,2008,3,33,2008-03-33,[주제],■ bright room에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ bright room의 장점에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,3,34,2008-03-34,[주제],■ 요즘 children의 특징에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,3,35,2008-03-35,[도표],■ 도표와 일치하지 않는 번호를 고르시고 올바르게 고치세요.
5,2008,3,36,2008-03-36,[일치불일치],■ 보기 번호에 해당하는 내용을 각각 찾아서 본문에 밑줄 표시하시고 각 보기에서 틀린 내용을 올바르게 고치세요.
